date,place,magnitude
2026/03/26,熊本県天草・芦北地方,2.3
2026/03/26,新島・神津島近海,2.2
2026/03/25,福岡県筑後地方,4.0
2026/03/25,兵庫県南東部,4.2
2026/03/25,新島・神津島近海,2.2
2026/03/25,宮古島近海,4.3
2026/03/25,熊本県天草・芦北地方,1.7
2026/03/25,熊本県阿蘇地方,2.6
2026/03/25,薩摩半島西方沖,2.7
2026/03/25,和歌山県北部,2.6
2026/03/25,福島県沖,3.9
2026/03/25,和歌山県北部,2.9
2026/03/24,富山県東部,3.4
2026/03/24,南太平洋,7.6
2026/03/24,福島県沖,3.8
2026/03/23,宮古島近海,4.3
2026/03/23,福島県浜通り,3.6
2026/03/23,熊本県天草・芦北地方,2.0
2026/03/23,熊本県天草・芦北地方,1.6
2026/03/22,房総半島南方沖,4.2
2026/03/22,熊本県天草・芦北地方,2.8
2026/03/22,熊本県天草・芦北地方,2.4
2026/03/22,熊本県天草・芦北地方,2.1
2026/03/22,熊本県天草・芦北地方,2.7
2026/03/22,熊本県天草・芦北地方,2.3
2026/03/21,奄美大島近海,4.3
2026/03/21,熊本県天草・芦北地方,3.4
2026/03/21,福島県会津,2.1
2026/03/21,新潟県上中越沖,4.0
2026/03/21,熊本県熊本地方,2.7
2026/03/21,熊本県天草・芦北地方,2.2
2026/03/21,熊本県天草・芦北地方,3.1
2026/03/21,奄美大島北東沖,5.5
2026/03/21,熊本県天草・芦北地方,3.3
2026/03/21,熊本県天草・芦北地方,2.1
2026/03/20,宮崎県南部平野部,2.9
2026/03/20,石川県能登地方,2.4
2026/03/20,北海道東方沖,4.1
2026/03/20,熊本県天草・芦北地方,2.5
2026/03/20,熊本県天草・芦北地方,2.1
2026/03/20,熊本県天草・芦北地方,1.9
2026/03/20,トカラ列島近海,2.3
2026/03/19,青森県東方沖,4.3
2026/03/19,茨城県沖,3.2
2026/03/19,熊本県天草・芦北地方,1.7
2026/03/19,渡島地方東部,2.5
2026/03/19,兵庫県南東部,2.7
2026/03/19,熊本県天草・芦北地方,2.1
2026/03/19,有明海,3.0
2026/03/18,熊本県天草・芦北地方,1.9
2026/03/18,熊本県天草・芦北地方,2.2
2026/03/18,熊本県天草・芦北地方,1.9
2026/03/18,青森県東方沖,4.0
2026/03/18,熊本県天草・芦北地方,3.0
2026/03/18,十勝沖,4.1
2026/03/18,熊本県天草・芦北地方,2.0
2026/03/18,熊本県天草・芦北地方,2.1
2026/03/18,熊本県天草・芦北地方,3.4
2026/03/18,日向灘,3.3
2026/03/17,福島県会津,2.5
2026/03/17,熊本県天草・芦北地方,2.0
2026/03/17,茨城県北部,2.6
2026/03/17,熊本県天草・芦北地方,1.9
2026/03/17,熊本県天草・芦北地方,2.0
2026/03/17,熊本県天草・芦北地方,1.8
2026/03/16,伊予灘,4.0
2026/03/16,熊本県天草・芦北地方,2.6
2026/03/16,青森県東方沖,4.5
2026/03/16,熊本県天草・芦北地方,1.9
2026/03/16,大隅半島東方沖,4.4
2026/03/16,熊本県天草・芦北地方,2.1
2026/03/16,青森県東方沖,4.9
2026/03/16,熊本県天草・芦北地方,2.5
2026/03/16,熊本県天草・芦北地方,2.3
2026/03/16,熊本県天草・芦北地方,1.7
2026/03/16,千葉県北東部,2.6
2026/03/16,熊本県天草・芦北地方,1.6
2026/03/16,伊豆大島近海,4.3
2026/03/15,群馬県南部,4.4
2026/03/15,岐阜県飛騨地方,2.7
2026/03/15,東京都２３区,2.9
2026/03/15,福島県沖,4.3
2026/03/15,熊本県天草・芦北地方,2.0
2026/03/15,栃木県北部,2.6
2026/03/15,岩手県沖,3.2
2026/03/15,熊本県天草・芦北地方,4.0
2026/03/15,熊本県天草・芦北地方,2.4
2026/03/14,長野県南部,2.4
2026/03/14,神奈川県西部,3.1
2026/03/14,三陸沖,5.1
2026/03/14,石川県能登地方,2.5
2026/03/13,富山県東部,4.1
2026/03/13,富山県東部,3.3
2026/03/13,福島県沖,3.4
2026/03/13,富山県東部,2.7
2026/03/13,熊本県阿蘇地方,2.2
2026/03/12,富山県東部,3.4
2026/03/12,茨城県沖,3.3
2026/03/12,島根県東部,2.7
2026/03/11,青森県東方沖,3.9
2026/01/28,愛知県西部,2.4
2025/11/30,愛知県西部,3.9
2025/11/12,愛知県西部,3.5
2025/11/07,愛知県西部,2.8
2025/10/11,愛知県西部,2.8
2025/09/07,愛知県西部,4.1
2025/09/02,愛知県西部,2.5
2025/08/18,愛知県西部,3.9
2025/08/18,愛知県西部,3.9
2025/06/28,愛知県西部,3.0
2025/04/08,愛知県西部,4.6
2025/03/26,愛知県西部,2.9
2025/03/09,愛知県西部,2.8
2025/02/27,愛知県西部,3.0
2024/11/27,愛知県西部,3.0
2024/11/23,愛知県西部,3.6
2024/09/15,愛知県西部,3.5
2024/07/17,愛知県西部,2.7
2024/03/04,愛知県西部,3.1
